Page Id	URL	Name	DateAttr	Date
133	Aalen	Aalen	dbo:populationAsOf	2007-08-01 (xsd:date)
133	Aalen	Aalen	dbp:populationAsOf	2007-08-01 (xsd:date)
587	Claude_Debussy	Claude Debussy	dbo:birthDate	1862-08-22 (xsd:date)
587	Claude_Debussy	Claude Debussy	dbo:birthYear	1862-01-01 (xsd:date)
587	Claude_Debussy	Claude Debussy	dbo:deathDate	1918-03-25 (xsd:date)
587	Claude_Debussy	Claude Debussy	dbo:deathYear	1918-01-01 (xsd:date)
587	Claude_Debussy	Claude Debussy	dbp:dateOfBirth	1862-08-22 (xsd:date)
587	Claude_Debussy	Claude Debussy	dbp:dateOfDeath	1918-03-25 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbo:activeYearsEndYear	1979-01-01 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbo:activeYearsStartYear	1943-01-01 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbo:birthDate	1922-04-22 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbo:birthYear	1922-01-01 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbo:deathDate	1979-01-05 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbo:deathYear	1979-01-01 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbp:birthDate	1922-04-22 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbp:dateOfBirth	1922-04-22 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbp:dateOfDeath	1979-01-05 (xsd:date)
533	Charles_Mingus	Charles Mingus	dbp:deathDate	1979-01-05 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbo:activeYearsEndYear	2012-01-01 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbo:activeYearsStartYear	1940-01-01 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbo:birthDate	1920-12-06 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbo:birthYear	1920-01-01 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbo:deathDate	2012-12-05 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbo:deathYear	2012-01-01 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbp:birthDate	1920-12-06 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbp:dateOfBirth	1920-12-06 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbp:dateOfDeath	2012-12-05 (xsd:date)
685	Dave_Brubeck	Dave Brubeck	dbp:deathDate	2012-12-05 (xsd:date)
1073	George_Benson	George Benson	dbo:activeYearsEndYear	1954-01-01 (xsd:date)
1073	George_Benson	George Benson	dbo:activeYearsStartYear	1954-01-01 (xsd:date)
1073	George_Benson	George Benson	dbo:birthDate	1943-03-22 (xsd:date)
1073	George_Benson	George Benson	dbo:birthDate	1943-05-22 (xsd:date)
1073	George_Benson	George Benson	dbo:birthYear	1943-01-01 (xsd:date)
1073	George_Benson	George Benson	dbp:birthDate	1943-03-22 (xsd:date)
1073	George_Benson	George Benson	dbp:dateOfBirth	1943-05-22 (xsd:date)
1141	Greenwich_Village	Greenwich Village	dbp:added	1979-06-19 (xsd:date)
1328	James_Brown	James Brown	dbo:activeYearsEndYear	1988-01-01 (xsd:date)
1328	James_Brown	James Brown	dbo:activeYearsStartYear	1954-01-01 (xsd:date)
1328	James_Brown	James Brown	dbo:birthDate	1933-05-03 (xsd:date)
1328	James_Brown	James Brown	dbo:birthYear	1933-01-01 (xsd:date)
1328	James_Brown	James Brown	dbo:deathDate	2006-12-25 (xsd:date)
1328	James_Brown	James Brown	dbo:deathYear	2006-01-01 (xsd:date)
1328	James_Brown	James Brown	dbp:birthDate	1933-05-03 (xsd:date)
1328	James_Brown	James Brown	dbp:dateOfBirth	1933-05-03 (xsd:date)
1328	James_Brown	James Brown	dbp:dateOfDeath	2006-12-25 (xsd:date)
1328	James_Brown	James Brown	dbp:deathDate	2006-12-25 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbo:activeYearsEndYear	2001-01-01 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbo:activeYearsStartYear	1943-01-01 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbo:birthDate	1917-08-22 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbo:birthYear	1917-01-01 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbo:deathDate	2001-06-21 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbo:deathYear	2001-01-01 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbp:birthDate	1917-08-22 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbp:dateOfBirth	1917-08-22 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbp:dateOfDeath	2001-06-21 (xsd:date)
1451	John_Lee_Hooker	John Lee Hooker	dbp:deathDate	2001-06-21 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbo:activeYearsEndYear	1970-01-01 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbo:activeYearsStartYear	1963-01-01 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbo:birthDate	1942-11-27 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbo:birthYear	1942-01-01 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbo:deathDate	1970-09-18 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbo:deathYear	1970-01-01 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbp:birthDate	1942-11-27 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbp:dateOfBirth	1942-11-27 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbp:dateOfDeath	1970-09-18 (xsd:date)
1402	Jimi_Hendrix	Jimi Hendrix	dbp:deathDate	1970-09-18 (xsd:date)
1475	Joni_Mitchell	Joni Mitchell	dbo:activeYearsEndYear	2007-01-01 (xsd:date)
1475	Joni_Mitchell	Joni Mitchell	dbo:activeYearsStartYear	1964-01-01 (xsd:date)
1475	Joni_Mitchell	Joni Mitchell	dbo:birthDate	1943-11-07 (xsd:date)
1475	Joni_Mitchell	Joni Mitchell	dbp:birthDate	1943-11-07 (xsd:date)
1534	King_Crimson	King Crimson	dbo:activeYearsEndYear	1974-01-01 (xsd:date)
1534	King_Crimson	King Crimson	dbo:activeYearsStartYear	1968-01-01 (xsd:date)
1500	Karlheinz_Stockhausen	Karlheinz Stockhausen	dbo:birthDate	1928-08-22 (xsd:date)
1500	Karlheinz_Stockhausen	Karlheinz Stockhausen	dbo:birthYear	1928-01-01 (xsd:date)
1500	Karlheinz_Stockhausen	Karlheinz Stockhausen	dbo:deathDate	2007-12-05 (xsd:date)
1500	Karlheinz_Stockhausen	Karlheinz Stockhausen	dbo:deathYear	2007-01-01 (xsd:date)
1500	Karlheinz_Stockhausen	Karlheinz Stockhausen	dbp:dateOfBirth	1928-08-22 (xsd:date)
1500	Karlheinz_Stockhausen	Karlheinz Stockhausen	dbp:dateOfDeath	2007-12-05 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbo:activeYearsEndYear	1982-01-01 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbo:activeYearsStartYear	1969-01-01 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbo:birthDate	1948-12-13 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbo:birthYear	1948-01-01 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbo:deathDate	1982-04-30 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbo:deathYear	1982-01-01 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbp:birthDate	1948-12-13 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbp:dateOfBirth	1948-12-13 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbp:dateOfDeath	1982-04-30 (xsd:date)
1590	Lester_Bangs	Lester Bangs	dbp:deathDate	1982-04-30 (xsd:date)
2034	Nevis	Nevis	dbo:foundingDate	1983-09-19 (xsd:date)
2034	Nevis	Nevis	dbp:establishedDate	1983-09-19 (xsd:date)
2398	Ron_Carter	Ron Carter	dbo:activeYearsStartYear	1960-01-01 (xsd:date)
2398	Ron_Carter	Ron Carter	dbo:birthDate	1937-05-04 (xsd:date)
2398	Ron_Carter	Ron Carter	dbo:birthYear	1937-01-01 (xsd:date)
2398	Ron_Carter	Ron Carter	dbp:birthDate	1937-05-04 (xsd:date)
2398	Ron_Carter	Ron Carter	dbp:dateOfBirth	1937-05-04 (xsd:date)
2331	Red_Hot_Chili_Peppers	Red Hot Chili Peppers	dbo:activeYearsStartYear	1983-01-01 (xsd:date)
2597	Steve_Reich	Steve Reich	dbo:birthDate	1936-10-03 (xsd:date)
2597	Steve_Reich	Steve Reich	dbo:birthYear	1936-01-01 (xsd:date)
2597	Steve_Reich	Steve Reich	dbp:dateOfBirth	1936-10-03 (xsd:date)
2594	Steve_Lacy	Steve Lacy	dbo:birthDate	1934-07-23 (xsd:date)
2594	Steve_Lacy	Steve Lacy	dbo:birthYear	1934-01-01 (xsd:date)
2594	Steve_Lacy	Steve Lacy	dbo:deathDate	2004-06-04 (xsd:date)
2594	Steve_Lacy	Steve Lacy	dbo:deathYear	2004-01-01 (xsd:date)
2594	Steve_Lacy	Steve Lacy	dbp:birthDate	1934-07-23 (xsd:date)
